subject	session	roundn	fact	rts	response	cond
10	1	7	19	10.800000	7450.000000	0
10	1	7	16	9.200000	1098.000000	0
10	1	7	5	41.200000	6500.000000	0
10	1	7	21	5.540000	1310.000000	0
10	1	7	8	13.320000	6250.000000	0
10	1	7	20	6.940000	9899.000000	0
10	1	7	17	11.980000	7450.000000	0
10	1	7	1	6.600000	4570.000000	0
10	1	7	23	4.500000	6520.000000	0
10	1	8	7	5.720000	4250.000000	0
10	1	8	10	3.250000	3650.000000	0
10	1	8	17	4.580000	7450.000000	0
10	1	8	16	4.260000	2310.000000	0
10	1	8	14	6.500000	2405.000000	0
10	1	8	1	8.320000	1045.000000	0
10	1	8	21	16.290000	1320.000000	0
10	1	8	5	5.920000	6250.000000	0
10	1	8	8	5.230000	4560.000000	0
10	1	8	23	3.530000	2533.000000	0
10	1	8	19	4.570000	6502.000000	0
10	1	9	14	5.650000	4560.000000	0
10	1	9	17	11.070000	4530.000000	0
10	1	9	1	6.420000	2130.000000	0
10	1	9	10	4.580000	6250.000000	0
10	1	9	8	8.180000	4250.000000	0
10	1	9	16	4.860000	4250.000000	0
10	1	9	5	8.890000	2230.000000	0
10	1	9	19	4.980000	6250.000000	0
10	1	9	7	4.930000	5250.000000	0
10	1	9	21	9.530000	2130.000000	0
10	1	10	1	10.290000	1320.000000	0
10	1	10	21	26.550000	1340.000000	0
10	1	10	8	4.170000	7333.000000	0
10	1	10	14	3.870000	7333.000000	0
10	1	10	5	3.350000	7333.000000	0
10	1	10	16	3.670000	7333.000000	0
10	1	10	10	4.160000	7333.000000	0
10	1	10	17	9.510000	7333.000000	0
10	1	10	7	2.520000	7333.000000	0
10	1	10	19	65.080000	4520.000000	0
10	1	11	14	6.000000	5240.000000	0
10	1	11	19	5.770000	6250.000000	0
10	1	11	17	10.270000	2310.000000	0
10	1	11	1	7.480000	4758.000000	0
10	1	11	10	3.270000	6500.000000	0
10	1	11	16	6.320000	2310.000000	0
10	1	11	21	14.210000	2130.000000	0
10	1	11	5	3.900000	6500.000000	0
10	1	11	8	6.350000	4520.000000	0
10	1	12	5	9.190000	5400.000000	0
10	1	12	8	18.350000	2356.000000	0
10	1	12	10	5.890000	2310.000000	0
10	1	12	21	8.780000	1315.000000	0
10	1	12	19	3.010000	4568.000000	0
10	1	12	1	10.200000	4589.000000	0
10	1	12	14	4.260000	4259.000000	0
10	1	12	16	6.510000	1310.000000	0
10	1	12	17	3.130000	3560.000000	0
10	1	13	17	8.180000	4250.000000	0
10	1	13	16	9.890000	2130.000000	0
10	1	13	19	4.240000	4256.000000	0
10	1	13	8	6.180000	2310.000000	0
10	1	13	5	5.130000	4250.000000	0
10	1	13	1	3.320000	1343.000000	0
10	1	13	10	3.870000	4250.000000	0
10	1	13	14	3.590000	3650.000000	0
10	1	13	21	10.040000	1340.000000	0
10	1	14	8	8.540000	2455.000000	0
10	1	14	10	3.420000	5420.000000	0
10	1	14	17	6.470000	6250.000000	0
10	1	14	5	4.340000	7450.000000	0
10	1	14	14	4.630000	2150.000000	0
10	1	14	19	4.230000	6250.000000	0
10	1	14	21	2.750000	2152.000000	0
10	1	14	16	6.470000	1089.000000	0
10	1	15	17	5.630000	4262.000000	0
10	1	15	8	5.360000	6250.000000	0
10	1	15	14	3.340000	4250.000000	0
10	1	15	5	4.580000	3250.000000	0
10	1	15	16	2.930000	1064.000000	0
10	1	15	10	3.960000	4212.000000	0
10	1	15	19	3.190000	4123.000000	0
10	1	16	14	5.140000	4202.000000	0
10	1	16	8	3.160000	4409.000000	0
10	1	16	19	4.440000	4580.000000	0
10	1	16	10	3.650000	4409.000000	0
10	1	16	5	4.100000	6504.000000	0
10	1	16	17	2.780000	4250.000000	0
10	1	17	17	3.170000	4235.000000	0
10	1	17	5	3.370000	5576.000000	0
10	1	17	14	3.660000	4585.000000	0
10	1	17	8	2.290000	4568.000000	0
10	1	17	19	2.920000	6562.000000	0
10	1	18	19	3.650000	4625.000000	0
10	1	18	8	2.890000	3560.000000	0
10	1	18	14	3.400000	6402.000000	0
10	1	18	17	4.030000	6522.000000	0
10	1	19	17	4.750000	5834.000000	0
10	1	19	8	2.870000	4520.000000	0
10	1	19	19	1.890000	6546.000000	0
10	1	20	8	3.940000	3634.000000	0
10	1	20	19	3.380000	6520.000000	0
10	1	21	19	3.540000	4386.000000	0
10	1	22	12	23.880000	4250.000000	0
10	1	22	5	8.720000	6210.000000	0
10	1	22	15	10.540000	10898.000000	0
10	1	22	18	7.450000	7450.000000	0
10	1	22	20	11.070000	9899.000000	0
10	1	22	21	4.220000	2130.000000	0
10	1	22	11	5.400000	1300.000000	0
10	1	22	24	7.830000	7855.000000	0
10	1	22	23	9.500000	4250.000000	0
10	1	22	8	8.920000	2256.000000	0
10	1	22	7	7.310000	8599.000000	0
10	1	22	16	4.890000	1056.000000	0
10	1	22	13	4.280000	8555.000000	0
10	1	22	22	15.910000	7353.000000	0
10	1	22	4	6.180000	2666.000000	0
10	1	22	10	4.810000	4250.000000	0
10	1	22	1	5.430000	4758.000000	0
10	1	22	3	8.910000	6200.000000	0
10	1	22	9	4.550000	6266.000000	0
10	1	22	2	9.020000	4755.000000	0
10	1	22	17	7.860000	7333.000000	0
10	1	22	14	8.390000	4266.000000	0
10	1	22	6	6.080000	931.000000	0
10	1	22	19	7.150000	6220.000000	0
10	2	1	19	22.610000	4550.000000	4
10	2	1	14	21.590000	6250.000000	4
10	2	1	17	18.330000	7333.000000	1
10	2	1	8	12.820000	2350.000000	1
10	2	1	18	16.510000	7890.000000	1
10	2	1	6	11.150000	931.000000	4
10	2	1	3	13.780000	10890.000000	4
10	2	1	20	21.070000	4310.000000	1
10	2	1	1	17.830000	2130.000000	4
10	2	1	21	10.420000	2130.000000	1
10	2	1	12	16.650000	9890.000000	1
10	2	1	4	1844.780000	2400.000000	4
9	1	1	14	12.460000	6410.000000	0
9	1	1	2	5.620000	4746.000000	0
9	1	1	10	16.210000	4450.000000	0
9	1	1	11	5.930000	1330.000000	0
9	1	1	7	12.160000	9910.000000	0
9	1	1	17	12.100000	8480.000000	0
9	1	1	1	12.130000	4540.000000	0
9	1	1	8	16.800000	7430.000000	0
9	1	1	12	6.860000	1030.000000	0
9	1	1	3	6.400000	10500.000000	0
9	1	1	16	5.020000	2606.000000	0
9	1	1	18	9.130000	7525.000000	0
9	1	1	21	11.330000	2130.000000	0
9	1	1	15	10.440000	9981.000000	0
9	1	1	13	10.150000	9899.000000	0
9	1	1	19	14.970000	4350.000000	0
9	1	1	9	11.730000	4740.000000	0
9	1	1	4	6.390000	2606.000000	0
9	1	1	24	8.850000	7450.000000	0
9	1	1	20	6.840000	9989.000000	0
9	1	1	6	3.710000	5580.000000	0
9	1	1	23	8.670000	2521.000000	0
9	1	1	22	7.010000	9981.000000	0
9	1	1	5	5.820000	5580.000000	0
9	1	2	6	6.590000	931.000000	0
9	1	2	16	5.470000	1303.000000	0
9	1	2	8	11.520000	3540.000000	0
9	1	2	17	11.480000	5840.000000	0
9	1	2	13	4.640000	8288.000000	0
9	1	2	21	15.430000	2540.000000	0
9	1	2	22	14.150000	9981.000000	0
9	1	2	7	21.610000	7470.000000	0
9	1	2	1	21.110000	1343.000000	0
9	1	2	9	19.620000	6390.000000	0
9	1	3	16	12.910000	1064.000000	0
9	1	3	8	10.020000	3640.000000	0
9	1	3	21	8.220000	2140.000000	0
9	1	3	7	6.850000	7333.000000	0
9	1	3	22	10.050000	9160.000000	0
9	1	3	9	10.150000	6240.000000	0
9	1	4	3	10.430000	10500.000000	0
9	1	4	13	6.140000	8288.000000	0
9	1	4	7	8.050000	7333.000000	0
9	1	4	8	6.730000	3640.000000	0
9	1	4	21	5.920000	2150.000000	0
9	1	4	2	16.700000	4750.000000	0
9	1	4	1	18.500000	1343.000000	0
9	1	4	10	12.370000	4450.000000	0
9	1	4	15	8.280000	9981.000000	0
9	1	4	19	9.560000	4350.000000	0
9	1	4	18	10.010000	7425.000000	0
9	1	4	12	4.950000	1030.000000	0
9	1	4	22	13.470000	9180.000000	0
9	1	4	9	17.500000	6250.000000	0
9	1	4	17	15.020000	5830.000000	0
9	1	4	14	12.030000	6250.000000	0
9	1	4	20	3.630000	931.000000	0
9	1	4	4	11.370000	2606.000000	0
9	1	4	5	16.100000	1330.000000	0
9	1	4	23	17.590000	2520.000000	0
9	1	4	6	4.930000	931.000000	0
9	1	4	16	7.670000	1064.000000	0
9	1	4	11	9.900000	1330.000000	0
9	1	4	24	16.600000	7450.000000	0
14	2	1	1	8.390000	1343.000000	1
14	2	1	14	15.990000	6250.000000	4
14	2	1	16	18.430000	1064.000000	4
14	2	1	4	3.870000	2606.000000	1
14	2	1	9	9.540000	6540.000000	4
14	2	1	12	5.460000	1031.000000	4
14	2	1	10	11.820000	4410.000000	1
14	2	1	11	7.650000	1330.000000	1
14	2	1	8	8.130000	3640.000000	4
14	2	1	18	6.830000	7425.000000	1
14	2	1	3	9.190000	10500.000000	1
14	2	1	5	15.190000	5540.000000	4
10	3	1	13	20.720000	8880.000000	2
10	3	1	19	35.460000	4780.000000	4
10	3	1	16	21.530000	2310.000000	2
10	3	1	11	19.210000	1530.000000	2
10	3	1	2	17.400000	7820.000000	2
10	3	1	24	27.700000	6750.000000	2
10	3	1	1	15.890000	1031.000000	4
10	3	1	6	11.040000	931.000000	4
10	3	1	5	23.140000	6540.000000	2
10	3	1	4	29.230000	2450.000000	4
10	3	1	3	31.980000	10890.000000	4
10	3	1	14	44.760000	7890.000000	4
9	2	1	1	13.780000	1343.000000	4
9	2	1	11	10.830000	1331.000000	4
9	2	1	3	7.830000	10500.000000	1
9	2	1	21	17.570000	2150.000000	4
9	2	1	4	4.780000	2606.000000	4
9	2	1	10	15.370000	4430.000000	1
9	2	1	9	23.270000	6530.000000	1
9	2	1	7	9.080000	7333.000000	1
9	2	1	13	25.740000	9980.000000	1
9	2	1	15	5.720000	9981.000000	4
9	2	1	8	8.110000	3640.000000	1
9	2	1	17	24.070000	5860.000000	4
14	3	1	1	19.620000	1340.000000	0
14	3	1	22	11.920000	9150.000000	0
14	3	1	3	3.930000	10500.000000	0
14	3	1	10	8.380000	4420.000000	0
14	3	1	7	6.260000	7333.000000	0
14	3	1	17	8.010000	5850.000000	0
14	3	1	16	4.180000	1064.000000	4
14	3	1	8	9.520000	3620.000000	4
14	3	1	14	7.230000	6450.000000	4
14	3	1	24	10.530000	7450.000000	0
14	3	1	4	3.170000	2606.000000	0
14	3	1	5	9.850000	5560.000000	4
14	3	1	21	13.590000	2140.000000	2
14	3	1	15	13.020000	9950.000000	2
14	3	1	12	6.940000	1020.000000	4
14	3	1	2	9.900000	4750.000000	0
14	3	1	23	8.250000	2540.000000	2
